Station	Year	Month	C	RH	Blight
12836	1991	7	29.65	71.45	0
12836	1991	8	29.7	69.89	0
12836	1991	9	28.68	74.13	0
12836	1991	10	26.58	77.72	0
12836	1991	11	23.3	77.02	0.33
12836	1991	12	22.39	78.24	0.74
12836	1992	1	20.63	78.68	1.16
12836	1992	2	22.22	78.33	0.55
12836	1992	3	22.88	72.85	0
12836	1992	4	24.04	71.52	0
12836	1992	5	25.57	67.27	0
12836	1992	6	28.61	76.84	0.1
12836	1992	7	29.46	71.67	0
12836	1992	8	29.41	72.52	0
12836	1992	10	26.28	73.9	0
12836	1992	11	25.16	78.44	0.03
12836	1992	12	22.5	75.17	0.23
12836	1993	1	23.24	78.27	0.52
12836	1993	2	21.24	71.86	0.32
12836	1993	3	22.15	75.51	0.77
12836	1993	4	23.5	68.38	0.17
12836	1993	5	26.07	71.88	0
12836	1993	6	28.77	73.35	0.03
12836	1993	7	29.69	69.81	0
12836	1993	8	29.56	70.24	0
12836	1993	9	28.86	73.66	0
12836	1993	10	27.05	79.99	0.45
12836	1993	11	24.82	78.92	0.33
12836	1993	12	21.16	75.49	0.52
12836	1994	1	21	79.8	1.77
12836	1994	4	26.11	74.32	0
12836	1994	5	27.48	71.64	0
12836	1994	6	29.41	72.61	0
12836	1994	7	29.1	71.73	0
12836	1994	8	28.73	75.1	0
12836	1994	10	26.86	77.63	0.19
12836	1994	11	25.34	79.96	0.27
12836	1994	12	22.98	77.79	1.1
12836	1995	2	20.63	76.88	1.46
12836	1995	3	23.16	75.37	0.32
12836	1995	4	25.7	73.65	0.2
12836	1995	5	28.39	72.57	0.03
12836	1995	6	28.41	76.59	0.17
12836	1995	7	29.2	73.88	0.06
12836	1995	8	29.57	74	0
12836	1995	9	28.97	76.11	0.07
12836	1995	10	27.53	82.83	0.52
12836	1995	11	23.68	75.43	0.03
12836	1995	12	20.5	79.9	1.8
12839	1990	1	22.71	73.85	0.74
12839	1990	2	23	67.79	0.36
12839	1990	3	22.91	68.51	0.39
12839	1990	4	23.81	67.8	0.4
12839	1990	5	26.47	72.14	0.13
12839	1990	6	27.79	70.53	0.13
12839	1990	7	28.14	73.9	0.06
12839	1990	8	27.86	77.33	0.35
12839	1990	9	28.03	74.29	0.23
12839	1990	10	26.5	72.3	0.13
12839	1990	11	23.36	69.72	0
12839	1990	12	22.37	73.07	0.9
12839	1991	1	22.46	76.51	1.1
12839	1991	2	20.85	68.57	0.71
12839	1991	3	23.08	68.16	0.16
12839	1991	4	25.43	71.73	0.17
12839	1991	5	27.16	69.63	0.03
12839	1991	7	28.22	76.71	0.16
12839	1991	8	28.7	73.6	0.1
12839	1991	9	27.5	78.81	0.4
12839	1991	10	25.58	79.12	0.9
12839	1991	11	22.62	74.71	0.87
12839	1991	12	21.85	74.43	1.45
12839	1992	1	19.46	73.97	1.35
12839	1992	2	21.16	74.91	1.45
12839	1992	3	21.85	68.81	1.23
12839	1992	4	23.04	69.76	0.7
12839	1992	5	25.2	64.4	0.16
12839	1992	6	26.85	82.05	0.77
12839	1992	7	29.07	70.37	0.06
12839	1992	8	28.64	74.77	0.13
12839	1992	9	28.04	77.06	0.07
12839	1992	10	26.06	72.5	0.03
12839	1992	11	24.41	79.03	0.67
12839	1992	12	22	72.87	1.13
12839	1993	1	22.51	76.61	0.97
12839	1993	2	20.37	69.72	1.64
12839	1993	3	21.83	70.23	0.61
12839	1993	4	23.18	63.71	0
12839	1993	5	25.98	66.44	0.16
12839	1993	6	28.18	72.53	0.13
12839	1993	7	28.8	72.09	0.06
12839	1993	8	28.72	72.48	0.03
12839	1993	9	28.03	74.88	0.1
12839	1993	10	26.31	77.95	0.52
12839	1993	11	24.23	75.32	0.7
12839	1993	12	20.3	69.93	0.48
12839	1994	1	20.56	75.33	1.16
12839	1994	2	22.72	76.46	0.61
12839	1994	3	22.99	69.4	0.23
12839	1994	4	25.49	71.09	0.23
12839	1994	5	27.01	68.23	0
12839	1994	6	28.31	75.03	0.17
12839	1994	7	28.58	71.72	0.06
12839	1994	8	27.97	75.47	0.16
12839	1994	9	27.41	78.86	0.17
12839	1994	11	24.75	76.91	0.4
12839	1994	12	21.91	76.41	0.87
12839	1995	1	19.28	70.9	1.26
12839	1995	2	20.16	72.38	0.64
12839	1995	3	22.86	70.28	0.68
12839	1995	4	24.87	70.52	0.37
12839	1995	5	27.91	69.55	0.03
12839	1995	6	27.36	77.22	0.23
12839	1995	7	28.68	73.71	0.03
12839	1995	8	28.33	79.12	0.55
12839	1995	9	28.13	77.52	0.17
12839	1995	10	27.23	78.19	0.19
12839	1995	11	22.84	69.25	0.7
12839	1995	12	19.82	72.21	1.27
12842	1990	1	18.63	74.34	2.74
12842	1990	2	20.16	73.51	1.89
12842	1990	3	20.8	69.19	1.03
12842	1990	4	22.15	68.12	0.9
12842	1990	5	26.55	70.12	0
12842	1990	6	27.7	73.42	0.33
12842	1990	7	27.45	79.66	0.68
12842	1990	8	28.1	77.28	0.26
12842	1990	9	27.45	73.62	0.5
12842	1990	10	24.7	75.27	1.29
12842	1990	11	20.63	73.74	2.13
12842	1990	12	19	77.33	3.65
12842	1991	1	18.57	81.74	4.42
12842	1991	2	17.76	70.7	2.04
12842	1991	3	19.83	77.72	2.48
12842	1991	4	24.62	73.94	0.93
12842	1991	5	26.47	76.15	0.45
12842	1991	6	26.99	75.86	0.43
12842	1991	7	27.41	80.63	0.55
12842	1991	8	27.76	79.98	0.77
12842	1991	9	26.72	78.11	0.63
12842	1991	10	23.26	76.45	2.39
12842	1991	11	18.16	74.15	2.33
12842	1991	12	17.58	76.97	3.06
12842	1992	1	15.18	72.97	2.19
12842	1992	2	17.09	77	2.79
12842	1992	3	17.96	74.49	2.48
12842	1992	4	20.57	72.93	1.67
12842	1992	5	23.58	71.29	1.68
12842	1992	6	27.36	79.45	0.6
12842	1992	7	28.27	74.87	0.55
12842	1992	8	27.08	79.58	0.52
12842	1992	9	26.72	78.88	0.5
12842	1992	10	22.17	77.78	2.81
12842	1992	11	20.36	77.7	1.2
12842	1992	12	17.63	77.9	2.74
12842	1993	1	18.73	81.51	3.94
12842	1993	2	15.43	73.35	1.86
12842	1993	3	17.87	75.12	2.84
12842	1993	4	19.69	68.02	0.7
12842	1993	5	24.24	68.65	0.45
12842	1993	6	27.28	72.41	0.37
12842	1993	7	28.42	73.55	0.06
12842	1993	8	28.2	74.44	0.29
12842	1993	9	26.9	76.27	0.53
12842	1993	10	23.62	78.84	2.13
12842	1993	11	20.43	75.79	1.5
12842	1993	12	15.04	72.57	2
12842	1994	1	15.64	78.61	2.81
12842	1994	2	18.79	77.88	3.43
12842	1994	3	19.78	73.37	1.94
12842	1994	4	23.65	74.6	2.07
12842	1994	5	25.4	72.07	0.68
12842	1994	6	27.59	78.21	0.47
12842	1994	7	26.84	81.33	0.68
12842	1994	8	26.53	83.58	1.19
12842	1994	9	25.77	84.45	1
12842	1994	10	23.93	82.01	2.9
12842	1994	11	21.91	79.96	2.8
12842	1995	1	14.5	80.95	2.52
12842	1995	2	16.37	78.77	3.61
12842	1995	4	22.93	73.53	1.87
12842	1995	5	27.53	70.26	0.03
12842	1995	6	26.46	77.66	1.2
12842	1995	7	27.76	77.93	0.48
12842	1995	8	27.9	80.95	0.39
12842	1995	9	27.01	80.13	0.7
12842	1995	10	24.7	78.45	1.13
12843	1990	2	21.39	71.66	0.96
12843	1990	3	21.44	69.44	1
12843	1990	4	22.58	67.99	0.5
12843	1990	5	25.87	72.78	0.55
12843	1990	6	26.63	75.73	0.37
12843	1990	7	27.1	79.01	0.48
12843	1990	8	27.14	78.94	0.71
12843	1990	9	27.28	75.23	0.3
12843	1990	10	25.7	73.37	0.23
12843	1990	12	19.94	77.78	2.29
12843	1991	1	19.85	80.24	3.03
12843	1991	2	18.44	71.74	2.36
12843	1991	3	20.5	73.53	1.58
12843	1991	4	24.11	75.68	1.23
12843	1991	5	26.16	74.85	0.97
12843	1991	6	26.74	76.34	0.27
12843	1991	7	27.16	79.39	0.81
12843	1991	8	27.58	78.27	0.42
12843	1991	9	27.17	78.4	0.73
12843	1991	10	24.65	76.59	1.19
12843	1991	11	20.4	75.71	1.37
12843	1991	12	19.45	76.94	2.74
12843	1992	1	16.17	76.4	2.29
12843	1992	2	18.63	77.34	2.45
12843	1992	3	19.41	71.23	1.13
12843	1992	5	23.66	68.7	0.32
12843	1992	6	26.13	82.1	0.63
12843	1992	7	28.2	74.62	0.16
12843	1992	8	27.01	79.59	0.74
12843	1992	9	27.17	78.5	0.23
12843	1992	10	23.85	73.84	1.1
12843	1992	11	22.37	80.06	0.73
12843	1992	12	18.98	80.12	3.39
12843	1993	1	19.93	82.58	4
12843	1993	2	16.92	76.81	2.68
12843	1993	4	20.78	66.75	0.67
12843	1993	5	24.24	72.27	0.1
12843	1993	6	26.46	77.64	0.43
12843	1993	7	27.72	77.55	0.81
12843	1993	8	27.32	78.78	0.45
12843	1993	9	26.97	78.32	0.77
12843	1993	10	24.24	82.56	2.42
12843	1993	11	22.19	79.03	2.13
12843	1993	12	15.86	78.72	2.97
12843	1994	1	17.99	77.8	2.42
12843	1994	2	20.37	77.93	2.39
12843	1994	3	20.52	71.86	2.03
12843	1994	4	23.71	76.1	1.33
12843	1994	5	24.79	74.42	0.9
12843	1994	6	26.59	81.81	0.77
12843	1994	7	26.99	79.03	0.61
12843	1994	8	26.56	81.71	1.1
12843	1994	9	26.14	82.61	0.97
12843	1994	10	24.61	79.48	2.52
12843	1994	11	23.05	79.77	2.53
12843	1994	12	19.12	84.11	3.97
12843	1995	1	15.64	75.76	1.87
12843	1995	2	17.14	74.32	2.75
