"RH"	"C"	"monthly.gam.surface"
78	24	2.11896322146842
78	25	1.66385838585624
78	26	1.24324379538589
78	27	0.904840279698376
78	28	0.637178354399302
78	29	0.40315105451816
78	30	0.187541018970632
78	31	0
78	32	0
78	33	0
78	34	0
78	35	0
79	3	0.505458029809964
79	4	0.619121399680205
79	5	0.731655855883205
79	6	0.844528112229248
79	7	0.97084818840724
79	8	1.12509001417174
79	9	1.31417500124846
79	10	1.53465290222705
79	11	1.76981449381666
79	12	1.99940365917004
79	13	2.21596817016226
79	14	2.4224378871578
79	15	2.62397004077586
79	16	2.81287068323906
79	17	2.97926369319266
79	18	3.11727083109297
79	19	3.21706856815932
79	20	3.27480685842143
79	21	3.25357799967087
79	22	3.09270276019076
79	23	2.76048897854666
79	24	2.29421629589815
79	25	1.78697784764934
79	26	1.33909415202499
79	27	0.989147881129867
79	28	0.70879813056271
79	29	0.455092615909458
79	30	0.224286076154247
79	31	0.0165560689503353
79	32	0
79	33	0
79	34	0
79	35	0
80	3	0.541764785371515
80	4	0.64390578043182
80	5	0.73828573239618
80	6	0.836037375600287
80	7	0.956507267514942
80	8	1.11570420946645
80	9	1.31866718362416
80	10	1.55926596260991
80	11	1.81979906162007
80	12	2.07815077755898
80	13	2.32303952774442
80	14	2.55758359186976
80	15	2.78709839981766
80	16	3.00441103121826
80	17	3.20374482924886
80	18	3.38533053156713
80	19	3.53607744120457
80	20	3.62825331856748
80	21	3.60818524866354
80	22	3.40203885901513
80	23	2.98858219401442
80	24	2.44601113153058
80	25	1.89203006087043
80	26	1.42742713630992
80	27	1.07017766629145
80	28	0.770101295337101
80	29	0.498073389274812
80	30	0.255573846703355
80	31	0.0407029898612619
80	32	0
80	33	0
80	34	0
80	35	0
81	3	0.558397850269295
81	4	0.65205134995209
81	5	0.734315550392571
81	6	0.824735252014054
81	7	0.945858471710882
81	8	1.11547422152758
81	9	1.33929324054127
81	10	1.60874619611587
81	11	1.90132935794862
81	12	2.19411887455405
81	13	2.47432965278476
81	14	2.74184914632338
81	15	3.00073555385798
81	16	3.24952070272428
81	17	3.48383179144753
81	18	3.70632007378636
81	19	3.89101551285874
81	20	3.99086042980706
81	21	3.94064868811476
81	22	3.66842904812547
81	23	3.17236247501158
81	24	2.56102935971427
81	25	1.96763911772266
81	26	1.48553024561456
81	27	1.11540032997962
81	28	0.803605700790311
81	29	0.524548767246283
81	30	0.278700084415063
81	31	0.0625220875229406
81	32	0
81	33	0
81	34	0
81	35	0
82	3	0.55760277288568
82	4	0.647717520313066
82	5	0.729133120346959
82	6	0.824230261556006
82	7	0.95772265122301
82	8	1.14749108737139
82	9	1.40037782191566
82	10	1.70267826721492
82	11	2.02881998807247
82	12	2.35575783008167
82	13	2.66889186163003
82	14	2.96595055528798
82	15	3.25060871032148
82	16	3.52469181758646
82	17	3.78613458475461
82	18	4.02758854092332
82	19	4.21437102339924
82	20	4.28562647373031
82	21	4.18430928846313
82	22	3.83815564758326
82	23	3.28029297029839
82	24	2.62506189810613
82	25	2.00497557025465
82	26	1.50584237181479
82	27	1.12334201119712
82	28	0.810373696962574
82	29	0.537210145946546
82	30	0.296847935988081
82	31	0.0849552594355902
82	32	0
82	33	0
82	34	0
82	35	0
83	3	0.548620913344163
83	4	0.6403467722421
83	5	0.73181134492401
83	6	0.84374861214915
83	7	1.00248688676365
83	8	1.22477718841851
83	9	1.51203274299331
83	10	1.84512177504598
83	11	2.19819715541903
83	12	2.55009401032374
83	13	2.88613461263478
83	14	3.20236615657052
83	15	3.50158912775639
83	16	3.78546297297074
83	17	4.0498993991884
83	18	4.27862758679076
83	19	4.43159798048167
83	20	4.45557847066843
83	21	4.30004328351727
83	22	3.90663438294795
83	23	3.31697785794804
83	24	2.64174359543720
83	25	2.01062974563037
83	26	1.50874025638481
83	27	1.12492681191941
83	28	0.815443881664623
83	29	0.55112501537856
83	30	0.319483666000063
83	31	0.114301262251975
83	32	0
83	33	0
83	34	0
83	35	0
84	3	0.537774901546914
84	4	0.639880217747367
84	5	0.75224358296189
84	6	0.89361840000788
84	7	1.08673922228
84	8	1.34751572329000
84	9	1.66749673026735
84	10	2.02416917018063
84	11	2.39241469498661
84	12	2.75550842021528
84	13	3.1022643210314
84	14	3.42501827433178
84	15	3.72434847369199
84	16	3.99986301824092
84	17	4.24344473718026
84	18	4.43284779935012
84	19	4.53098704075386
84	20	4.49857606852739
84	21	4.29402533345145
84	22	3.88440206721739
84	23	3.29824493354907
84	24	2.63684179102406
84	25	2.02094747410082
84	26	1.52853413924211
84	27	1.14855647813016
84	28	0.841659146277174
84	29	0.582920716653539
84	30	0.357695811513797
84	31	0.157919832441191
84	32	0
84	33	0
