"RH"	"C"	"monthly.gam.surface"
78	11	0.855019794869688
78	12	1.00297540526291
78	13	1.15240406032436
78	14	1.29433722846241
78	15	1.42573653959077
78	16	1.54448144389820
78	17	1.64546094097093
78	18	1.72122833541880
78	19	1.76986571729647
78	20	1.78979899271685
78	21	1.76570141851736
78	22	1.66724783100020
78	23	1.46192016055051
78	24	1.14844867610825
78	25	0.785144396231913
78	26	0.458524515399558
78	27	0.212711308849913
78	28	0.0311743231514146
78	29	0
78	30	0
78	31	0
78	32	0
78	33	0
78	34	0
78	35	0
79	3	0.159188298192600
79	4	0.215996123652524
79	5	0.277586766771621
79	6	0.337966041105781
79	7	0.399700376976278
79	8	0.473364031800402
79	9	0.569908753950004
79	10	0.694509246468151
79	11	0.843866632836095
79	12	1.00826970123111
79	13	1.17838625663002
79	14	1.34634922599237
79	15	1.50677070675297
79	16	1.65218469043852
79	17	1.7771902737889
79	18	1.88027897333136
79	19	1.9575901100652
79	20	2.00876349333885
79	21	2.00407827113815
79	22	1.89054707798459
79	23	1.63476260493991
79	24	1.26051350261102
79	25	0.844325955505471
79	26	0.478178483311297
79	27	0.204192488000240
79	28	8.29424039703666e-05
79	29	0
79	30	0
79	31	0
79	32	0
79	33	0
79	34	0
79	35	0
80	3	0.168616886986436
80	4	0.215118713910956
80	5	0.262404177797579
80	6	0.310206092352859
80	7	0.364857729988441
80	8	0.436692474247548
80	9	0.536007265845409
80	10	0.668451116441432
80	11	0.832841595264435
80	12	1.01915403438318
80	13	1.21614944691192
80	14	1.41582963343595
80	15	1.61029481720059
80	16	1.78929664041757
80	17	1.94778307693023
80	18	2.08713217562330
80	19	2.2021276054687
80	20	2.27644244293882
80	21	2.26987279857732
80	22	2.11900333231827
80	23	1.7968752893351
80	24	1.35594137504177
80	25	0.887804782779717
80	26	0.48652251125213
80	27	0.184156493696367
80	28	0
80	29	0
80	30	0
80	31	0
80	32	0
80	33	0
80	34	0
80	35	0
81	3	0.167385958231326
81	4	0.203984480653754
81	5	0.239693214625146
81	6	0.279516329499772
81	7	0.331528246660551
81	8	0.406432224217996
81	9	0.514754635631033
81	10	0.66222906971227
81	11	0.846448337760479
81	12	1.05734821643459
81	13	1.28419558310097
81	14	1.51704182313578
81	15	1.74559817198711
81	16	1.96028894658065
81	17	2.15492954353426
81	18	2.33091600312911
81	19	2.47412971986683
81	20	2.55419146416652
81	21	2.52158001755605
81	22	2.31494058997766
81	23	1.92187088894344
81	24	1.41778253264204
81	25	0.905537313035476
81	26	0.473384105432583
81	27	0.144014205196061
81	28	0
81	29	0
81	30	0
81	31	0
